trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-529.325471898378,"{0: 75, 1: 17, 2: 18, 3: 2, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,-63,-400.112561731313,"{0: 50, 1: 13, 2: 13, 3: 0, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,-62,-651.4860349164237,"{0: 40, 1: 10, 2: 18, 3: 4, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.85}",25,-59,-409.29241197789094,"{0: 47, 1: 6, 2: 26, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.8}",35,-60,-493.80861657221,"{0: 52, 1: 18, 2: 16, 3: 2, 4: 7}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,-87,-510.2992870580238,"{0: 74, 1: 7, 2: 20, 3: 3, 4: 8}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,-100,-509.15962857247223,"{0: 71, 1: 13, 2: 30, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,-100,-420.56200261368394,"{0: 86, 1: 13, 2: 17, 3: 3, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.6}",25,-61,-371.3498977890101,"{0: 59, 1: 6, 2: 13, 3: 1, 4: 7}",0
10,False,"{'a': 0.5, 'e': 0.55}",25,-19,-142.37538454212225,"{0: 30, 1: 3, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5}",30,-100,-541.5094987797808,"{0: 79, 1: 16, 2: 26, 3: 2, 4: 7}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,2,-134.78304817214143,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,-100,-488.0077945121982,"{0: 81, 1: 12, 2: 24, 3: 1, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,-68,-522.9166748642554,"{0: 50, 1: 17, 2: 17, 3: 1, 4: 8}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",30,-7,-141.65197980376726,"{0: 22, 1: 8, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,-68,-572.8415345631574,"{0: 53, 1: 12, 2: 23, 3: 2, 4: 8}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,-100,-461.742765587167,"{0: 78, 1: 9, 2: 23, 3: 5, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,14,-8.585296147490881,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,-100,-542.4038487092006,"{0: 71, 1: 18, 2: 21, 3: 3, 4: 7}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,-51,-271.10739140840303,"{0: 44, 1: 6, 2: 18, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-632.0242404541295,"{0: 80, 1: 9, 2: 15, 3: 4, 4: 12}",0
2,True,"{'a': 0, 'e': 0}",30,-100,-786.3936972773205,"{0: 73, 1: 13, 2: 30, 3: 2, 4: 12}",0
3,True,"{'a': 0, 'e': 0}",20,-82,-416.5926741958786,"{0: 59, 1: 12, 2: 26, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,-40,-90.27847684071968,"{0: 45, 1: 5, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,-100,-571.0472281397482,"{0: 77, 1: 16, 2: 20, 3: 4, 4: 8}",0
6,True,"{'a': 0, 'e': 0}",20,-7,-80.42351866484628,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,13,3.3953751303151183,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,-100,-489.87024645188575,"{0: 73, 1: 18, 2: 20, 3: 3, 4: 6}",0
9,True,"{'a': 0, 'e': 0}",30,-28,-272.01496591487506,"{0: 37, 1: 9, 2: 6, 3: 1, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",30,-23,-225.8453722278716,"{0: 33, 1: 3, 2: 14, 3: 0, 4: 3}",0
